2L	110878	111004	1	1	1	1	0	30
2L	2360394	2360455	2	2	1	1	0	35
2L	4457290	4457374	2	2	1	18	0	7
2L	6477898	6477970	2	2	1	1	0	35
2L	6667009	6667085	2	2	1	1	0	15
2L	6713466	6713574	2	2	1	3	0	34
2L	7826982	7827060	2	2	1	41	0	35
2L	8042126	8042439	2	2	1	1	0	6
2L	8222115	8222225	2	2	1	1	0	31
2L	8364316	8364540	2	2	1	1	0	36
2L	9967359	9967616	1	1	1	2	0	9
2L	13273049	13273618	1	1	1	1	0	15
2L	13274377	13274642	1	1	1	2	0	27
2L	14616908	14616977	1	1	1	1	0	9
2L	16492052	16505495	1	1	1	1	0	29
2L	16779211	16780549	1	3	1	0	1	30
2L	16779846	16780549	1	1	1	1	1	32
2L	16783662	16784250	1	1	1	3	0	3
2L	16783912	16784665	1	1	1	1	0	5
2L	16784330	16784665	1	1	1	5	0	15
2L	16785842	16785908	1	1	1	1	0	9
2L	16786815	16788020	1	1	1	15	0	31
2R	5857306	5857367	1	1	1	1	0	30
2R	6732185	6732237	2	2	1	1	0	30
2R	6734195	6734258	2	2	1	1	0	7
2R	8830578	8830872	1	1	1	1	0	8
2R	9102416	9102475	1	1	1	1	0	13
2R	10037772	10038179	2	2	1	1	0	24
2R	10897588	10897663	2	2	1	1	0	17
2R	12167928	12167993	2	2	1	2	0	27
2R	12269436	12273765	1	1	1	2	0	17
2R	13407381	13407439	1	1	1	0	1	8
2R	13412108	13412166	1	1	1	0	1	8
2R	13870273	13870337	2	2	1	1	0	37
2R	13871339	13871665	2	2	1	1	0	9
2R	13871726	13871978	2	2	1	1	0	9
2R	14291916	14292045	1	1	1	2	0	29
2R	15996099	15996166	2	2	1	1	0	3
2R	16103775	16105032	1	1	1	1	0	6
2R	16105183	16105716	1	1	1	7	0	10
2R	17351265	17352128	1	1	1	1	0	30
2R	18284722	18285236	2	2	1	1	0	11
2R	18288389	18289534	2	2	1	1	0	36
2R	18413078	18415198	1	1	1	1	0	24
2R	18758881	18758943	2	2	1	1	0	27
2R	18821119	18821183	1	1	1	1	0	7
2R	19172281	19172344	1	1	1	1	0	9
2R	19172889	19173431	1	1	1	1	0	18
2R	20264111	20264246	1	1	1	5	0	9
2R	20944157	20944843	1	1	1	52	0	36
2R	24903789	24903880	2	2	1	19	0	22
3L	1207525	1227905	2	2	0	1	5	34
3L	2556730	2556791	2	2	1	2	0	17
3L	2587891	2588083	1	1	1	21	0	33
3L	3486279	3504719	1	1	1	1	0	19
3L	5163976	5166934	2	2	1	1	0	15
3L	5573830	5576837	2	2	1	5	0	9
3L	6951446	6953772	2	2	1	1	0	19
3L	7240942	7241225	2	2	1	4	0	6
3L	8105658	8106015	1	1	1	1	0	13
3L	8734856	8739169	2	2	1	2	0	7
3L	8972628	8972684	2	2	1	2	0	34
3L	9400185	9400418	2	2	1	3	0	23
3L	9411983	9413202	1	1	1	1	0	19
3L	9684459	9684521	2	2	1	3	0	36
3L	9686464	9688530	2	2	1	3	0	36
3L	10574489	10575318	1	1	1	1	0	15
3L	10575412	10576420	1	1	1	1	0	22
3L	12851723	12852615	1	1	1	1	0	4
3L	13041838	13041981	1	1	1	1	0	6
3L	13042015	13042109	1	1	1	1	0	12
3L	15589997	15600415	1	1	1	1	0	27
3L	16961603	16962334	1	1	1	2	0	35
3L	16962888	16962942	1	1	1	2	0	32
3L	18829958	18830275	2	2	1	2	0	20
3L	21641363	21641973	1	1	1	1	0	32
3L	21977631	21978132	1	1	1	1	0	28
3L	22869775	22869841	2	2	1	12	0	31
3L	23095212	23095274	2	2	1	1	0	24
3L	23095306	23095436	2	2	1	1	0	10
3L	23334741	23337874	2	2	1	1	0	14
3R	5597516	5597771	2	2	1	8	0	17
3R	5609020	5609631	2	2	1	1	0	33
3R	7196394	7197569	1	1	1	1	0	23
3R	8658388	8659962	2	2	1	2	0	26
3R	9354855	9354924	1	1	1	1	0	3
3R	9432840	9445043	1	1	1	1	0	21
3R	9540004	9540067	2	2	1	1	0	30
3R	10869586	10869642	1	1	1	1	0	34
3R	11222730	11223394	1	1	1	39	0	31
3R	11564712	11566917	2	2	1	1	0	7
3R	11801029	11801159	2	2	1	1	0	20
3R	13009147	13009203	2	2	1	1	0	9
3R	13384580	13384669	1	1	1	1	0	12
3R	13431354	13431668	2	2	1	1	0	8
3R	13774019	13774311	1	1	1	1	0	11
3R	14733635	14733699	2	2	1	1	0	32
3R	14733884	14734386	2	2	1	14	0	26
3R	14737484	14740379	2	2	1	6	0	33
3R	15172831	15173980	2	2	1	1	0	11
3R	15291526	15295112	1	1	1	2	0	6
3R	15295247	15295426	1	1	1	2	0	38
3R	15296709	15299276	1	1	1	3	0	33
3R	15301074	15303152	1	1	1	2	0	9
3R	15303223	15306340	1	1	1	0	3	7
3R	15303223	15307589	1	1	1	22	3	34
3R	15313047	15313108	1	1	1	1	0	29
3R	15373014	15373385	1	1	1	2	0	21
3R	16297346	16301244	1	1	0	1	0	12
3R	16298551	16299590	1	1	1	1	0	21
3R	17394267	17394535	2	2	1	1	0	10
3R	18248152	18248217	1	1	1	1	0	26
3R	18435791	18446700	2	2	1	1	0	4
3R	18919513	18920412	1	1	1	1	0	16
3R	20797854	20798290	1	1	1	1	0	37
3R	22574900	22579434	1	1	1	1	0	27
3R	22923858	22923919	1	1	1	1	0	10
3R	23197977	23209341	2	2	1	1	0	12
3R	23614470	23615127	2	2	1	1	0	6
3R	23938052	23938120	2	2	1	1	0	33
3R	25246668	25247432	2	2	1	6	0	16
3R	26257133	26257224	2	2	1	10	0	33
3R	26257135	26302967	1	1	0	1	0	17
3R	26258042	26261335	2	2	1	3	0	22
3R	27923741	27924139	1	1	1	1	0	33
3R	30173815	30174483	2	2	1	2	0	18
3R	30208426	30208489	2	2	1	2	0	22
3R	30211047	30211107	1	1	1	23	0	18
3R	30593850	30594817	2	2	1	1	0	34
3R	31453407	31453465	1	1	1	3	0	36
4	155148	155764	2	2	1	3	0	28
X	628687	628750	2	2	1	1	0	26
X	6277568	6282458	1	1	0	0	1	21
X	6277568	6282686	1	1	0	0	1	21
X	6277568	6282914	1	1	0	0	1	21
X	6278480	6282914	1	1	0	0	1	21
