2L	67508	67568	1	1	1	1	0	10
2L	108810	110405	1	1	1	1	0	2
2L	110878	111004	1	1	1	1	0	25
2L	295281	295345	1	1	1	1	0	17
2L	339442	340709	1	1	1	2	0	28
2L	420147	420291	1	1	1	13	0	33
2L	779292	779339	2	2	0	1	0	26
2L	853006	853191	1	1	1	1	0	37
2L	1034191	1042963	2	2	1	1	0	14
2L	1135082	1138620	1	1	1	1	0	32
2L	1166923	1166982	1	1	1	2	0	30
2L	1178468	1178840	1	1	1	1	0	32
2L	1595828	1595891	2	2	1	1	0	31
2L	1709964	1710042	2	2	1	2	0	7
2L	1710104	1710207	2	2	1	2	0	9
2L	1746030	1747691	1	1	1	1	0	31
2L	1928576	1932055	1	1	1	1	0	14
2L	1934050	1934118	1	1	1	1	0	36
2L	1936992	1937053	1	1	1	1	0	15
2L	1974481	1974563	1	1	1	1	0	28
2L	1981584	1981641	1	1	1	1	0	13
2L	1985402	1985470	2	2	1	4	0	31
2L	2010314	2026767	1	1	1	1	0	35
2L	2028051	2028112	1	1	1	1	0	32
2L	2134968	2135037	1	1	1	1	0	24
2L	2140313	2140379	2	2	1	1	0	15
2L	2360802	2360971	2	2	1	1	0	15
2L	2580582	2580643	1	1	1	1	0	11
2L	2739025	2739088	1	1	1	2	0	24
2L	2856569	2856630	1	1	1	14	3	11
2L	2866742	2866813	1	1	1	2	0	24
2L	2890917	2924913	1	1	1	1	0	25
2L	2890917	2946708	1	1	1	1	0	16
2L	2988679	2988739	1	1	1	1	0	18
2L	3027283	3027338	2	2	1	1	0	33
2L	3044161	3045653	1	1	1	1	0	37
2L	3045884	3046949	1	3	1	8	0	36
2L	3060143	3060229	1	1	1	1	0	26
2L	3067116	3067183	1	1	1	1	0	15
2L	3296995	3297052	2	2	1	1	0	23
2L	3318910	3318969	2	2	1	1	0	15
2L	3364941	3365426	2	2	1	1	0	14
2L	3451454	3451516	1	1	1	1	0	9
2L	3499423	3499510	2	2	1	1	0	18
2L	3713737	3714091	1	1	1	1	0	14
2L	4191775	4228413	2	2	0	1	0	18
2L	4325130	4328937	1	1	1	1	0	15
2L	4343696	4343756	1	1	1	1	0	7
2L	4388859	4390164	1	1	1	1	0	16
2L	4390706	4390797	1	1	1	1	0	31
2L	4392378	4392446	1	1	1	1	0	33
2L	4457290	4457374	2	2	1	1	0	21
2L	4458058	4458288	2	2	1	1	0	6
2L	4469966	4470993	2	2	1	1	0	19
2L	4801862	5051636	2	2	0	4	0	14
2L	4912779	4915046	2	2	1	0	1	14
